time,pattern,strategy,traffic,active_replicas,p95_latency,p99_latency,cpu_usage
8,stable,Least-CPU,493,10,26.578390840712352,26.578390840712352,"[20.52272007169883, 21.96055874342796, 24.194452157547495, 20.813610001604047, 20.010929244663306, 22.13340058449157, 21.249068847899323, 20.923837240135494, 19.965574643899608, 24.25706112676224]"
9,stable,Least-CPU,533,10,26.062406258197868,26.062406258197868,"[23.250082885489284, 20.964793263980972, 21.67953652990922, 22.971972052915376, 24.02267866912213, 20.224792050123632, 21.26660544926594, 21.080929951112452, 25.626413213817795, 21.251370107768036]"
10,stable,Least-CPU,518,10,26.10237352441612,26.10237352441612,"[20.97314473573583, 23.885211494930967, 21.432203613945827, 21.528020762720168, 20.731928896177926, 23.737251311536433, 21.734301800142838, 22.74620908118051, 21.836042590612383, 22.636179147070326]"
11,stable,Least-CPU,467,10,27.176995193805222,27.176995193805222,"[23.243603119998717, 20.500279613635474, 23.25425724831185, 21.938574924590696, 23.680477741690964, 20.612858613133234, 21.382445481586263, 20.719581284665217, 20.781498588113646, 21.21939795887282]"
12,stable,Least-CPU,498,10,26.45311530169781,26.45311530169781,"[21.1690103767167, 23.48236368638762, 20.42872965000492, 20.932140653926943, 20.434969000733737, 23.412754736118835, 20.73422536673013, 22.78325971641781, 22.436132516635098, 21.44227909885008]"
13,stable,Least-CPU,516,10,27.10737539673633,27.10737539673633,"[22.039793161488795, 20.02863816194917, 25.373672489821807, 22.335487478419203, 23.24110015201961, 20.611837924461625, 23.470680742792755, 20.56252547304888, 21.01789799546621, 21.5591469649397]"
14,stable,Least-CPU,508,10,26.589052173747074,26.589052173747074,"[21.001978654091747, 24.25169745924783, 21.245633417962914, 20.804638731133327, 20.962252352117414, 22.565797824060013, 20.37375892873675, 23.297344857684507, 22.75700864301586, 21.445620782125147]"
15,stable,Least-CPU,459,10,26.033895105240802,26.033895105240802,"[21.27255630135208, 20.753215388892563, 20.91820323643281, 22.28984991978002, 22.73489852813833, 20.367411865942195, 23.81083697176087, 20.058485626293518, 20.20213728942344, 20.535730402835792]"
16,stable,Least-CPU,475,10,26.511493977016084,26.511493977016084,"[19.44002345704355, 20.157011117716834, 20.709979246894576, 20.198972875853137, 19.826439594544375, 21.39610871862568, 19.994625076325562, 24.633252336057282, 22.027778250248602, 21.610955071169847]"
17,stable,Least-CPU,550,10,26.607140533218725,26.607140533218725,"[24.59962721397975, 22.37554960794951, 20.974099752072192, 21.277155755856057, 24.546697878996177, 20.329662867637577, 22.13818221404645, 21.657809467329052, 20.346241911552205, 20.794162769848512]"
18,stable,Least-CPU,513,10,25.31172237898317,25.31172237898317,"[21.34608061175266, 20.18716276475846, 22.14319269144898, 21.24582778637017, 21.18589927679676, 24.21608090024029, 20.968576383355604, 20.639875207900836, 23.372645979517117, 22.319546921066404]"
19,stable,Least-CPU,490,10,26.274368219186414,26.274368219186414,"[20.49805485708666, 23.992691857964424, 20.283245686577914, 21.615900938520856, 21.309458891022388, 20.477538488981615, 23.360219376855667, 23.615571177893333, 20.38152731546374, 20.136736981878336]"
20,stable,Least-CPU,484,10,26.07288159539911,26.07288159539911,"[21.022597795390226, 20.44308676709305, 22.888534039324625, 20.637171489713698, 20.607172421016614, 22.09809161944322, 21.103257811074492, 20.236685761782464, 21.892604046876073, 24.90292582228482]"
21,stable,Least-CPU,522,10,26.97387186358481,26.97387186358481,"[21.830839123594135, 24.440751125676613, 20.0286584221583, 21.714763009713486, 22.988843450522538, 20.310444227673244, 20.66924186987803, 25.12884249524645, 21.037097011266823, 20.996433912703402]"
