timestamp,pod_name,cpu_usage,memory_usage
2025-03-29 03:19:45,adservice-78bb57dfbd-qlv75,70m,136Mi
2025-03-29 03:19:45,cartservice-5b68c68477-hm8dm,96m,101Mi
2025-03-29 03:19:45,checkoutservice-854f5747fd-khqzm,55m,58Mi
2025-03-29 03:19:45,currencyservice-7d8f79889b-cljl5,136m,89Mi
2025-03-29 03:19:45,emailservice-6787c86dcd-7qmsx,51m,95Mi
2025-03-29 03:19:45,frontend-6659c9d65f-92czd,283m,67Mi
2025-03-29 03:19:45,loadgenerator-5d95b8b6f-hqhbt,78m,93Mi
2025-03-29 03:19:45,paymentservice-7fb78c9cdb-dpzlk,54m,74Mi
2025-03-29 03:19:45,productcatalogservice-589d6845fd-5v6pn,144m,63Mi
2025-03-29 03:19:45,recommendationservice-6cf78cdb66-9nvrf,78m,90Mi
2025-03-29 03:19:45,redis-cart-bf5c68f69-fkddf,64m,53Mi
2025-03-29 03:19:45,shippingservice-584657c6cb-kbbzp,58m,59Mi
2025-03-29 03:19:46,adservice-78bb57dfbd-qlv75,70m,136Mi
2025-03-29 03:19:46,cartservice-5b68c68477-hm8dm,96m,101Mi
2025-03-29 03:19:46,checkoutservice-854f5747fd-khqzm,55m,58Mi
2025-03-29 03:19:46,currencyservice-7d8f79889b-cljl5,136m,89Mi
2025-03-29 03:19:46,emailservice-6787c86dcd-7qmsx,51m,95Mi
2025-03-29 03:19:46,frontend-6659c9d65f-92czd,283m,67Mi
2025-03-29 03:19:46,loadgenerator-5d95b8b6f-hqhbt,78m,93Mi
2025-03-29 03:19:46,paymentservice-7fb78c9cdb-dpzlk,54m,74Mi
2025-03-29 03:19:46,productcatalogservice-589d6845fd-5v6pn,144m,63Mi
2025-03-29 03:19:46,recommendationservice-6cf78cdb66-9nvrf,78m,90Mi
2025-03-29 03:19:46,redis-cart-bf5c68f69-fkddf,64m,53Mi
2025-03-29 03:19:46,shippingservice-584657c6cb-kbbzp,58m,59Mi
2025-03-29 03:19:47,adservice-78bb57dfbd-qlv75,70m,136Mi
2025-03-29 03:19:47,cartservice-5b68c68477-hm8dm,96m,101Mi
2025-03-29 03:19:47,checkoutservice-854f5747fd-khqzm,55m,58Mi
2025-03-29 03:19:47,currencyservice-7d8f79889b-cljl5,136m,89Mi
2025-03-29 03:19:47,emailservice-6787c86dcd-7qmsx,51m,95Mi
2025-03-29 03:19:47,frontend-6659c9d65f-92czd,283m,67Mi
2025-03-29 03:19:47,loadgenerator-5d95b8b6f-hqhbt,78m,93Mi
2025-03-29 03:19:47,paymentservice-7fb78c9cdb-dpzlk,54m,74Mi
2025-03-29 03:19:47,productcatalogservice-589d6845fd-5v6pn,144m,63Mi
2025-03-29 03:19:47,recommendationservice-6cf78cdb66-9nvrf,78m,90Mi
2025-03-29 03:19:47,redis-cart-bf5c68f69-fkddf,64m,53Mi
2025-03-29 03:19:47,shippingservice-584657c6cb-kbbzp,58m,59Mi
2025-03-29 03:19:48,adservice-78bb57dfbd-qlv75,70m,136Mi
2025-03-29 03:19:48,cartservice-5b68c68477-hm8dm,96m,101Mi
2025-03-29 03:19:48,checkoutservice-854f5747fd-khqzm,55m,58Mi
2025-03-29 03:19:48,currencyservice-7d8f79889b-cljl5,136m,89Mi
2025-03-29 03:19:48,emailservice-6787c86dcd-7qmsx,51m,95Mi
2025-03-29 03:19:48,frontend-6659c9d65f-92czd,283m,67Mi
2025-03-29 03:19:48,loadgenerator-5d95b8b6f-hqhbt,78m,93Mi
2025-03-29 03:19:48,paymentservice-7fb78c9cdb-dpzlk,54m,74Mi
2025-03-29 03:19:48,productcatalogservice-589d6845fd-5v6pn,144m,63Mi
2025-03-29 03:19:48,recommendationservice-6cf78cdb66-9nvrf,78m,90Mi
2025-03-29 03:19:48,redis-cart-bf5c68f69-fkddf,64m,53Mi
2025-03-29 03:19:48,shippingservice-584657c6cb-kbbzp,58m,59Mi
2025-03-29 03:19:49,adservice-78bb57dfbd-qlv75,70m,136Mi
2025-03-29 03:19:49,cartservice-5b68c68477-hm8dm,96m,101Mi
2025-03-29 03:19:49,checkoutservice-854f5747fd-khqzm,55m,58Mi
2025-03-29 03:19:49,currencyservice-7d8f79889b-cljl5,136m,89Mi
2025-03-29 03:19:49,emailservice-6787c86dcd-7qmsx,51m,95Mi
2025-03-29 03:19:49,frontend-6659c9d65f-92czd,283m,67Mi
